id,query,sql,query_type,expectation,dataset,attribute,notes
76,Where are all the footbridges in {input_location}?,,attribute_filter,out_of_scope,,,
77,What places in {input_location} could be at risk of flooding?,,attribute_filter,out_of_scope,,,
78,Where is there farm land in {input_location}?,,attribute_filter,out_of_scope,land,,
79,What water features in {input_location} are within 500 m of a farm?,,"proximity,attribute_filter",out_of_scope,"water,land",,
80,Which houses in {input_location} are within 500 m of greenspace?,,proximity,out_of_scope,"building,land",,
81,How many hospitals are in {input_location}?,,derived_attribute,expect_refusal,,,
82,Where is 'grey belt' land near {input_location}?,,derived_attribute,expect_refusal,,,Unclear definition for these areas
83,Where are steep roads in {input_location}?,,derived_attribute,expect_refusal,,,
84,Show me all the buildings in {input_location} and reproject to ETRS89.,,derived_attribute,expect_refusal,,,Do not allow ST_Transform
85,Return the centroids of all the buildings in {input_location}.,,derived_attribute,expect_refusal,,,
86,Return all the addresses which are within {input_location}.,,proximity,expect_refusal,,,
87,Show me all the commercial sites 500m around the Shard?,,proximity,expect_refusal,,,Searching location of interest by name
88,Show me a map of Ordnance Survey.,,attribute_filter,expect_refusal,,,Searching location of interest by name
89,"Where is Explorer House, Adanac DriveNursling, Southampton SO16 0AS?",,geocoding,expect_refusal,,,
90,"Where is 118 New Oxford Street, London WC1A 1HL?",,geocoding,expect_refusal,,,
91,"What is the address of (437289.24,115513.55)?",,geocoding,expect_refusal,,,
92,Which houses are in a flood zone within {input_location}?,,topology,expect_refusal,,,Requires 3rd party data on flood zones
93,Which postcodes cover {input_location}?,,topology,expect_refusal,,,
94,Return the UPRNs for all buildings in {input_location} that are within 1km of a hospital.,,proximity,expect_refusal,building,,
95,Which buildings are not contained within a site?,,topology,expect_refusal,,,
96,Which houses in {input_location} are underneath trees?,,direction,expect_refusal,,,
97,Show me all the churches north of {input_location}.,,direction,expect_refusal,,,
98,What proportion of {input_location} is covered by green space?,,"overlay,attribute_filter",expect_refusal,,,
99,What proportion of houses in {input_location} are within 500 m of greenspace?,,overlay,expect_refusal,,,Advanced query
100,What is the area of forest within {input_location}?,,"overlay,attribute_filter",expect_refusal,,,
101,How much greenspace is within 150m around each house in {input_location}?,,"overlay,attribute_filter",expect_refusal,,,
102,Show me where roads cross a river in {input_location}.,,overlay,expect_refusal,,,
103,In which area is Southampton located?,,topology,expect_refusal,,,
104,Which roads cross a river in {input_location}?,,topology,expect_refusal,,,
105,Show me the shortest routes between Southampton and Salisbury.,,navigation,expect_refusal,,,Routing / Advanced query
106,Where is the highest density of fast food outlets?,,spatial_stats,expect_refusal,,,Advanced query
107,Where should a hospital be located in {input_location} to serve the most households?,,allocation,expect_refusal,,,Advanced query
108,Show me all the buildings in SO16 0AS.,,spatial_filter,expect_refusal,,,Postcode as spatial filter
109,Show me London Bridge.,,attribute_filter,expect_refusal,,,Searching location of interest by name
110,Show me all the buildings within 500m around London Bridge.,,attribute_filter,expect_refusal,,,Searching location of interest by name
111,Show me all the bridges that cross the Thames.,,overlay,expect_refusal,,,Searching location of interest by name
112,Where are the most deprived areas in {input_location}?,,attribute_filter,expect_refusal,,,Requires 3rd party data on Index of Multiple Deprivation
113,Which homes in {input_location} are in the most deprived areas?,,overlay,expect_refusal,,,Requires 3rd party data on Index of Multiple Deprivation
114,Which homes in {input_location} have EPC ratings below 68?,,attribute_filter,expect_refusal,,,Requires 3rd party data on EPC
